,Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Employment_Type,Permanent_Employee,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau_Data___Monthly_Other_Co_R,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Worst_status_L6m,Worst_CUrrent_Status,Status_3s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
15034,38680,881,A,60,7500.0,9.9,UnSecured,12,2,236,H,Y,0,S,F,187,P,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,187,95000,92492,109506,581,0,D,46,94,0,0,99,0,2,2,0,1,18,N,0,171,8,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15035,38682,876,A,36,2000.0,25.9,UnSecured,44,8,11,H,Y,0,D,F,72,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,84,110000,95165,95552,531,5,D,46,97,1,12,59,93,0,0,0,1,0,N,1,4,3,N,59,LASU                      ,1,770.0,LASU,Single,1,0,0
15036,38683,833,C,60,7000.0,30.9,UnSecured,24,4,89,H,Y,0,M,F,72,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,108,160000,122288,122870,1083,5,D,45,124,1,4,50,7,3,3,1,2,1,N,1,6,3,N,50,LIFE & CRITICAL ILLN      ,1,768.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15038,38686,838,C,120,9000.0,16.4,secured  ,44,8,53,H,Y,0,S,M,34,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,252,128000,89298,96971,720,5,D,33,91,0,0,99,0,3,1,2,2,4,N,0,77,5,N,99,LIFE & CRITICAL ILLN      ,1,768.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15039,38687,868,B,36,2300.0,24.9,UnSecured,6,1,139,H,Y,2,M,M,67,P,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,97,300000,160821,168167,1051,0,D,45,162,1,9,42,5,0,0,0,9,10,N,1,74,4,N,42,LASU                      ,1,758.0,LASU,Single,1,0,0
15041,38689,865,B,24,1000.0,26.9,UnSecured,47,8,240,H,Y,4,M,M,166,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,94,89000,88742,112524,1046,0,D,54,90,0,0,99,1,0,0,0,9,18,N,0,238,8,N,99,LASCI                     ,1,760.0,LASCI,Single,1,0,0
15043,38694,808,D,60,7857.17,15.4,UnSecured,46,8,21,H,Y,1,D,M,162,G,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,66,85000,38611,57917,616,0,D,43,40,0,0,99,0,0,0,0,0,0,N,0,194,8,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15044,38695,973,X,60,6000.0,11.9,UnSecured,44,8,71,H,Y,0,S,F,71,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,110000,65464,67990,499,5,D,44,67,0,0,99,0,1,0,0,0,0,N,0,26,6,N,99,LASCI                     ,1,772.0,LASCI,Single,1,0,0
15046,38698,962,X,60,10000.0,7.9,UnSecured,60,11,96,H,Y,3,M,M,276,S,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,96,500000,0,6609,0,0,D,43,0,0,0,99,0,1,1,0,3,0,N,0,67,6,N,99,JOINT LIFE & CRITICA      ,1,757.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
15047,38700,862,B,120,10000.0,11.9,secured  ,16,3,12,H,Y,1,M,M,48,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,432,150000,134939,147948,1259,5,D,48,142,0,0,99,0,0,0,0,4,0,N,0,77,9,N,99,LASU                      ,1,770.0,LASU,Single,1,0,0
15048,38701,819,C,120,15000.0,15.4,secured  ,17,3,120,H,Y,1,M,F,192,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,108,231000,124856,149419,1327,0,D,43,126,0,0,99,0,2,2,0,9,9,N,0,246,9,N,99,Joint                     ,1,776.0,JOINT LASCI,Joint,0,1,0
15052,38712,864,B,60,10000.0,11.9,UnSecured,18,3,91,H,Y,1,S,M,64,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,77,180000,126158,140338,759,5,D,50,128,1,16,28,93,0,0,0,2,8,N,0,142,9,N,99,1st Cust - LASCI / 2      ,1,761.0,1st Cust - LASCI / 2nd Cust - LCI,Single,1,0,0
15053,38713,925,A,60,5000.0,9.9,UnSecured,14,2,89,T,Y,1,M,M,252,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,144,120000,0,8862,0,0,D,39,0,1,5,59,49,0,0,0,4,3,N,1,89,4,N,59,LASU                      ,1,758.0,LASU,Single,1,0,0
15054,38714,890,A,60,5000.0,19.9,UnSecured,55,10,27,H,N,0,D,F,224,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,220000,143763,150564,894,5,D,70,145,0,0,99,147,1,0,0,2,2,N,0,69,7,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15055,38715,980,X,60,10000.0,7.9,UnSecured,18,3,540,H,Y,0,W,M,120,R,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,540,200000,0,28520,342,0,D,67,0,0,0,99,0,0,0,0,1,27,N,0,286,6,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15056,38716,774,E,24,1000.0,31.9,UnSecured,27,4,51,T,N,0,S,F,26,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,168,120000,0,3455,155,5,D,40,0,1,2,62,0,2,0,0,3,3,N,1,35,6,N,62,LASCI                     ,1,760.0,LASCI,Single,1,0,0
15059,38721,902,A,60,12500.0,7.9,UnSecured,23,4,174,H,Y,0,D,F,66,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,282,125000,0,13032,0,0,D,48,0,0,0,99,0,2,0,0,1,13,N,0,131,3,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15060,38726,868,B,60,6600.0,13.9,UnSecured,54,10,24,H,Y,0,D,F,98,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,411,133000,82197,108173,844,0,D,48,84,0,0,99,0,0,0,0,4,1,N,0,260,8,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15061,38729,776,E,96,13400.0,17.9,secured  ,23,4,20,H,Y,0,S,F,24,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,90,120000,118556,167165,1339,0,D,51,120,0,0,99,0,1,0,0,2,0,N,0,487,9,N,99,Joint                     ,1,775.0,JOINT LASU,Joint,0,1,0
15062,38735,835,C,120,18500.0,14.4,secured  ,47,8,124,H,Y,2,W,F,30,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,213,198000,28000,21743,0,0,D,45,0,0,0,99,5,4,4,5,0,8,N,0,218,5,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15063,38737,931,A,60,12000.0,7.9,UnSecured,22,4,66,H,Y,2,M,F,40,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,213,136000,61315,71768,399,0,D,39,63,0,0,99,12,1,0,0,1,5,N,0,105,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15064,38741,922,A,60,15000.0,7.9,UnSecured,13,2,157,H,Y,2,M,M,350,G,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,273,120000,35000,12156,142,0,D,46,0,0,0,99,0,0,0,0,1,14,N,0,122,5,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15067,38750,957,X,48,5000.0,9.9,UnSecured,55,10,156,T,Y,0,M,F,156,S,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,300,120000,0,388,0,5,D,71,0,0,0,99,0,0,0,0,3,11,N,0,4,2,N,99,JOINT LASCI               ,1,776.0,JOINT LASCI,Joint,0,1,0
15068,38751,861,B,60,7000.0,14.9,UnSecured,50,10,66,T,Y,3,M,F,96,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,120000,0,22848,233,0,D,51,0,0,0,99,0,1,0,0,4,5,N,0,229,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15069,38754,1057,X,60,6626.0,7.9,UnSecured,21,4,122,H,Y,0,M,M,284,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,332,180000,65574,79986,547,0,D,52,75,0,0,99,0,0,0,0,1,9,N,0,63,8,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15070,38758,874,A,60,5000.0,13.9,UnSecured,41,7,161,H,Y,0,S,M,51,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,253,120000,118750,131827,908,0,D,46,120,0,0,99,0,0,0,0,0,7,N,0,131,5,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15071,38760,898,A,60,6000.0,22.9,UnSecured,59,11,108,H,Y,0,M,M,108,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,800000,449551,465692,1929,5,D,60,451,0,0,99,0,6,6,9,1,0,N,0,162,4,N,99,Joint                     ,1,778.0,1st Cust LASCI / 2nd Cust LASU,Joint,0,1,0
15072,38761,958,X,60,5000.0,9.9,UnSecured,22,4,84,H,Y,0,W,M,84,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,468,17500,21000,27295,112,0,D,56,22,0,0,99,0,0,0,0,3,5,N,0,63,6,N,99,LASCI                     ,1,760.0,LASCI,Single,1,0,0
15073,38763,923,A,60,5000.0,9.9,UnSecured,23,4,3,H,Y,0,M,M,244,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,402,140000,108000,0,0,5,D,49,0,0,0,99,88,2,0,0,2,0,N,0,1,2,N,99,JOINT LASCI               ,1,776.0,JOINT LASCI,Joint,0,1,0
15077,38774,1032,X,35,7500.0,7.9,UnSecured,16,3,531,H,Y,0,M,M,168,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,156,180000,0,18573,271,0,D,73,0,0,0,99,0,1,0,0,0,27,N,0,186,8,N,99,1st Cust - LASU / 2n      ,1,759.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
15080,38779,909,A,60,6000.0,17.9,UnSecured,44,8,489,H,Y,0,D,M,348,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,189,86000,52319,72776,751,0,D,47,54,6,84,29,213,0,0,0,4,27,N,0,205,7,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15081,38780,906,A,60,10000.0,7.9,UnSecured,42,7,204,H,Y,1,S,F,224,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,163,95000,45760,64108,529,0,D,38,47,1,2,72,0,0,0,0,3,1,N,0,184,9,N,99,JOINT LASU                ,1,775.0,JOINT LASU,Joint,0,1,0
15083,38782,870,B,120,15000.0,12.4,secured  ,15,3,114,H,Y,1,W,F,77,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,108,167000,91523,119398,1154,5,D,47,93,0,0,99,0,1,0,0,2,9,N,0,279,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15085,38784,1003,X,60,12000.0,7.9,UnSecured,44,8,142,H,Y,0,M,F,109,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,193,80000,44323,28985,268,0,D,36,16,0,0,99,0,0,0,0,0,10,N,0,142,7,N,99,1st Cust LASU / 2nd       ,1,777.0,1st Cust LASU / 2nd Cust LASCI,Joint,0,1,0
15086,38785,840,B,48,4000.0,24.9,UnSecured,49,9,60,T,Y,2,S,F,84,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,120000,0,9181,107,5,D,42,0,0,0,99,3,1,0,0,1,3,N,0,92,4,N,99,LASU                      ,1,770.0,LASU,Single,1,0,0
15087,38789,873,A,24,1000.0,29.9,UnSecured,0,1,30,H,Y,1,M,F,242,G,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,FALS,FALSE ,180,250000,176872,203071,1363,5,D,50,178,1,17,50,31,2,2,0,2,1,N,1,262,7,N,50,JOINT LASCI               ,1,776.0,JOINT LASCI,Joint,0,1,0
15088,38798,885,A,60,3000.0,34.9,UnSecured,38,6,88,T,Y,0,S,M,94,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,240,120000,0,2484,0,5,D,42,0,0,0,99,23,1,0,0,0,5,N,0,25,1,N,99,LASCI                     ,1,772.0,LASCI,Single,1,0,0
15089,38799,772,E,60,5000.0,29.9,UnSecured,37,6,35,T,Y,2,S,F,37,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,204,120000,0,18391,338,5,D,31,0,0,0,99,0,0,2,0,3,1,N,0,184,4,Y,99,LASU                      ,1,770.0,LASU,Single,1,0,0
15090,38801,802,D,48,6500.0,18.9,UnSecured,26,4,115,T,Y,0,M,F,66,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,174,120000,0,6102,411,0,D,48,0,0,0,99,14,0,0,0,4,9,N,0,62,8,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15091,38802,990,X,112,40000.0,7.9,secured  ,61,11,192,H,Y,1,S,F,126,R,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,180,151000,97777,156287,971,5,D,58,99,0,0,99,0,1,0,0,3,6,N,0,586,9,N,99,JOINT LIFE & CRITICA      ,1,757.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
15093,38809,807,D,13,1200.0,29.9,UnSecured,13,2,120,T,Y,1,S,M,42,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,120000,0,1159,0,0,D,27,0,1,3,49,4,0,0,0,1,7,N,0,12,3,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15094,38810,825,C,60,6000.0,22.9,UnSecured,45,8,15,H,Y,0,S,F,39,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,96,95000,85000,12546,271,5,D,32,0,0,0,99,2,0,0,0,6,0,N,0,126,8,N,99,JOINT LASU                ,1,775.0,JOINT LASU,Joint,0,1,0
15095,38815,723,O,60,1000.0,44.9,UnSecured,41,7,37,H,Y,1,M,M,33,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,90000,81078,97672,673,0,D,30,83,0,0,99,23,1,0,0,6,1,N,0,166,9,N,99,JOINT LASU                ,1,775.0,JOINT LASU,Joint,0,1,0
15097,38819,748,F,60,5000.0,26.9,UnSecured,23,4,84,T,Y,0,S,F,88,G,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,27,120000,0,15710,251,4,D,37,0,0,0,99,0,1,0,0,1,7,N,0,158,5,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15098,38820,751,F,120,30000.0,15.9,secured  ,23,4,144,H,Y,1,M,F,81,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,FALS,FALSE ,180,109000,26515,64038,1115,1,D,44,42,0,0,99,20,3,3,1,0,7,N,0,236,7,N,99,Joint                     ,1,775.0,JOINT LASU,Joint,0,1,0
15099,38822,906,A,60,7500.0,7.9,UnSecured,46,8,37,H,Y,4,M,M,108,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,128,147000,111712,119868,717,4,D,40,113,0,0,99,60,0,0,0,3,3,N,0,82,3,N,99,1st Cust - LASU / 2n      ,1,759.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
15101,38827,944,X,60,7500.0,7.9,UnSecured,12,2,78,H,Y,2,M,M,60,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,115,127000,74167,77226,441,0,D,37,76,0,0,99,0,0,0,0,1,6,N,0,31,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15102,38828,924,A,120,16000.0,9.4,secured  ,25,4,53,H,Y,1,S,M,198,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,414,79000,42479,58900,376,0,D,52,44,0,0,99,0,0,0,0,3,4,N,0,165,4,N,99,LASCI                     ,1,760.0,LASCI,Single,1,0,0
15103,38830,678,R,36,1000.0,44.9,UnSecured,45,8,18,L,Y,1,S,F,156,P,F,P,3,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,324,120000,0,11398,69,0,D,32,0,0,0,99,9,1,1,0,3,0,N,0,114,8,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15106,38836,1012,X,48,6084.16,9.9,UnSecured,42,7,360,H,Y,0,M,M,12,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,360,100000,0,6278,269,5,D,59,0,0,0,99,0,0,0,0,0,31,N,0,63,3,N,99,LASCI                     ,1,760.0,LASCI,Single,1,0,0
15107,38839,854,B,24,1000.0,19.9,UnSecured,37,6,168,H,N,3,M,M,132,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,108,50000,4000,0,0,5,D,50,0,0,0,99,0,0,0,0,1,1,N,0,0,0,N,99,Joint                     ,1,775.0,JOINT LASU,Joint,0,1,0
15108,38841,903,A,60,5000.0,11.9,UnSecured,24,4,205,H,N,0,M,M,24,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,241,155000,119999,136344,1093,0,D,57,121,0,0,99,46,0,0,0,6,16,N,0,164,8,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15109,38847,888,A,60,5000.0,14.9,UnSecured,55,10,12,T,Y,2,M,M,132,G,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,132,120000,0,19648,195,5,D,31,0,0,0,99,0,0,0,0,1,0,N,0,197,4,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15110,38850,840,B,60,5000.0,21.9,UnSecured,27,4,84,T,Y,1,S,M,180,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,120000,0,12382,0,5,D,51,0,0,0,99,0,2,2,0,1,0,N,0,124,4,N,99,LIFE & CRITICAL ILLN      ,1,768.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15112,38853,884,A,120,15000.0,12.9,secured  ,27,4,13,H,Y,0,S,M,54,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,149,206000,162529,178176,1348,0,D,48,164,0,0,99,0,0,0,0,3,0,N,0,157,8,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15114,38863,920,A,60,6000.0,9.9,UnSecured,44,8,229,T,Y,0,D,M,370,D,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,370,120000,0,11157,198,0,D,55,0,0,0,99,0,0,0,0,0,22,N,0,112,7,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15115,38864,805,D,60,3000.0,27.9,UnSecured,47,8,78,T,Y,0,M,M,60,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,96,120000,0,16543,0,0,D,59,0,0,0,99,0,0,0,0,5,6,N,0,166,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15116,38866,772,E,48,3000.0,27.9,UnSecured,20,3,303,H,Y,1,M,F,54,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,183,144000,64090,73563,469,0,D,45,66,0,0,99,56,2,2,0,2,22,N,0,95,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15117,38868,1020,X,60,2500.0,15.9,UnSecured,10,2,214,H,Y,0,M,M,130,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,130,80000,42495,47195,261,0,D,62,44,0,0,99,0,0,0,0,2,17,N,0,47,8,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15119,38874,964,X,60,8200.0,7.9,UnSecured,45,8,24,H,Y,0,M,F,24,R,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,133,100000,0,10391,81,4,D,70,0,0,0,99,3,0,0,0,1,1,N,0,104,2,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15132,38907,1029,X,36,3000.0,17.9,UnSecured,9,2,72,H,Y,1,M,M,180,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,324,250000,90000,116335,971,0,D,44,101,0,0,99,0,0,0,0,0,6,N,0,173,4,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15133,38910,906,A,60,10000.0,7.9,UnSecured,18,3,204,H,Y,1,M,M,7,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,36,225000,120000,174782,1002,5,D,49,164,0,0,99,0,0,0,0,1,17,N,0,119,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15134,38917,899,A,60,5000.0,11.9,UnSecured,41,7,216,T,Y,0,M,F,54,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,312,120000,0,3633,114,5,D,56,0,0,0,99,0,0,0,0,0,18,N,0,37,6,N,99,LASCI                     ,1,760.0,LASCI,Single,1,0,0
15136,38930,877,A,48,3500.0,20.9,UnSecured,33,5,72,T,Y,0,S,M,72,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,120000,0,1814,45,5,D,41,0,0,0,99,0,0,0,0,0,1,N,0,19,4,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15137,38932,1001,X,60,10000.0,7.9,UnSecured,9,2,44,H,Y,3,M,M,84,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,300,240000,140000,172219,1105,4,D,52,164,0,0,99,0,0,0,0,0,4,N,0,94,4,N,99,JOINT LASU                ,1,775.0,JOINT LASU,Joint,0,1,0
15138,38934,933,A,60,3000.0,17.9,UnSecured,54,10,61,H,Y,0,W,F,144,R,F,P,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,456,80000,0,16198,193,0,D,64,0,0,0,99,0,2,0,0,4,3,N,0,162,9,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15144,38946,834,C,300,63350.0,11.9,secured  ,23,4,228,H,Y,2,M,M,242,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,110000,9829,50493,0,0,D,44,0,1,6,64,4,3,0,1,4,18,N,1,505,4,N,64,Single                    ,1,745.0,LASU,Single,1,0,0
15148,38951,836,C,60,6000.0,17.9,UnSecured,23,4,205,H,Y,3,S,M,84,R,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,120000,0,24525,57,0,D,45,0,0,0,99,0,1,1,0,3,16,N,0,246,8,N,99,JOINT LIFE & CRITICA      ,1,757.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
15149,38955,861,B,60,5000.0,14.9,UnSecured,25,4,48,T,N,0,S,M,240,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,127,120000,0,2943,0,0,D,51,0,0,0,99,0,0,0,0,1,4,N,0,30,1,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15150,38956,886,A,60,10000.0,8.9,UnSecured,43,7,173,H,Y,1,S,F,388,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,112,130000,97950,108118,593,0,D,58,99,1,12,38,2,2,0,0,1,2,N,1,102,8,N,38,JOINT LIFE & CRITICA      ,1,757.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
15153,38965,903,A,25,1300.0,21.9,UnSecured,44,8,363,H,Y,0,M,F,41,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,421,82000,0,2839,112,4,D,54,0,0,0,99,0,0,0,0,6,2,N,0,29,5,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15154,38968,916,A,60,7500.0,7.9,UnSecured,36,6,105,H,Y,4,M,F,108,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,2600000,166594,26578,303,0,D,40,0,0,0,99,0,0,0,0,3,8,N,0,266,3,N,99,JOINT LASU                ,1,775.0,JOINT LASU,Joint,0,1,0
15155,38970,801,D,24,1000.0,32.9,UnSecured,56,11,168,T,Y,1,W,M,120,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,120,120000,0,7454,122,5,D,56,0,0,0,99,8,1,1,0,4,14,N,0,75,4,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
15157,38976,1013,X,52,5000.0,9.9,UnSecured,44,8,331,H,Y,0,M,M,152,R,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,511,68000,0,1735,0,0,D,71,0,0,0,99,0,0,0,0,1,25,N,0,18,2,N,99,JOINT LIFE & CRITICA      ,1,757.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
15158,38982,1015,X,120,24000.0,9.9,secured  ,45,8,180,H,Y,4,M,F,60,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,135000,62000,21699,390,5,D,39,23,2,5,40,4,0,0,0,3,14,N,2,0,1,N,40,JOINT LIFE & CRITICA      ,1,757.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
